"Aug 07, 2026 - Aug 13, 2026"
,"Fri, 07 Aug","Sat, 08 Aug","Sun, 09 Aug","Mon, 10 Aug","Tue, 11 Aug","Wed, 12 Aug","Thu, 13 Aug"
7am,22,13,7,12,22,13,16
8am,25,44,32,32,35,33,45
9am,27,57,41,39,48,32,49
10am,38,41,42,35,41,28,41
11am,40,42,37,32,30,33,40
12pm,25,47,30,33,52,33,40
1pm,64,44,38,45,48,45,45
2pm,42,37,18,45,33,31,34
3pm,30,37,22,25,22,25,23
4pm,19,27,28,13,14,14,14
5pm,27,21,19,18,22,34,20
6pm,18,21,16,19,24,19,20
7pm,24,31,22,18,25,22,33
8pm,34,34,24,15,26,15,32
9pm,12,7,8,4,9,10,12
10pm,5,5,6,7,2,6,6
